,Training episodes,Reward
574,11500,-12412.878124999985
575,11520,-12412.878124999988
576,11540,-12412.87812499999
577,11560,-12412.878124999992
578,11580,-12412.878124999994
579,11600,-12412.878124999996
580,11620,-12412.878124999997
581,11640,-12412.878124999997
582,11660,-12412.878124999997
583,11680,-12412.878124999997
584,11700,-12412.878124999997
585,11720,-12412.878124999997
586,11740,-12412.878124999997
587,11760,-12412.878124999997
588,11780,-12412.878124999997
589,11800,-12412.878124999997
590,11820,-12412.878124999997
591,11840,-12412.878124999997
592,11860,-12412.878124999997
593,11880,-12412.878124999997
594,11900,-12412.878124999997
595,11920,-12412.878124999997
596,11940,-12412.878124999997
597,11960,-12412.878124999997
598,11980,-12412.878124999997
599,12000,-12412.878124999997
600,12020,-12412.878124999997
601,12040,-12412.878124999997
602,12060,-12412.878124999997
603,12080,-12412.878124999997
604,12100,-12412.878124999997
605,12120,-12412.878124999997
606,12140,-12412.878124999997
607,12160,-12412.878124999997
608,12180,-12412.878124999997
609,12200,-12412.878124999997
610,12220,-12412.878124999997
611,12240,-12412.878124999997
612,12260,-12412.878124999997
613,12280,-12412.878124999997
614,12300,-12412.878124999997
615,12320,-12412.878124999997
616,12340,-12412.878124999997
617,12360,-12412.878124999997
618,12380,-12412.878124999997
619,12400,-12412.878124999997
620,12420,-12412.878124999997
621,12440,-12412.878124999997
622,12460,-12412.878124999997
623,12480,-12412.878124999997
624,12500,-12412.878124999997
625,12520,-12412.878124999997
626,12540,-12412.878124999997
627,12560,-12412.878124999997
628,12580,-12412.878124999997
629,12600,-12409.328281249997
630,12620,-12404.640281249998
631,12640,-12391.206599999998
632,12660,-12370.315904999998
633,12680,-12350.696942749997
634,12700,-12320.826772949998
635,12720,-12289.97438711
636,12740,-12259.549353438
637,12760,-12219.084795250401
638,12780,-12160.47267995032
639,12800,-12085.916112710256
640,12820,-12002.136327668204
641,12840,-11900.240312134563
642,12860,-11792.55256220765
643,12880,-11685.56548726612
644,12900,-11562.358796062896
645,12920,-11440.901255600318
646,12940,-11314.366316980253
647,12960,-11173.785397334203
648,12980,-11024.20113036736
649,13000,-10848.74590429389
650,13020,-10672.429848435111
651,13040,-10505.226691248088
652,13060,-10331.65604049847
653,13080,-10165.056551148777
654,13100,-10002.815240919022
655,13120,-9846.422817735218
656,13140,-9708.581379188174
657,13160,-9585.138072100539
658,13180,-9469.718113930432
659,13200,-9353.125584894346
660,13220,-9232.042186665476
661,13240,-9108.66843683238
662,13260,-8972.270999465905
663,13280,-8822.101018322724
664,13300,-8670.35143965818
665,13320,-8510.726932976544
666,13340,-8349.464515131236
667,13360,-8193.02989335499
668,13380,-8054.146727183992
669,13400,-7922.546756747194
670,13420,-7807.501155397756
671,13440,-7691.3726430682045
672,13460,-7586.922489454564
673,13480,-7494.223616563651
674,13500,-7418.999830750921
675,13520,-7352.789552100738
676,13540,-7295.62773543059
677,13560,-7242.538907094472
678,13580,-7194.040031925577
679,13600,-7152.824525540462
680,13620,-7113.86680793237
681,13640,-7082.213446345896
682,13660,-7049.053257076717
683,13680,-7019.623699411373
684,13700,-6990.895209529099
685,13720,-6966.859605123279
686,13740,-6946.8226840986235
687,13760,-6929.324241028899
688,13780,-6909.60111157312
689,13800,-6895.405420508496
690,13820,-6882.8749614067965
691,13840,-6868.910125375437
692,13860,-6858.222631550349
693,13880,-6847.415292740279
694,13900,-6838.213952942223
695,13920,-6826.953506103779
696,13940,-6818.007804883023
697,13960,-6809.657650156418
698,13980,-6802.302526375135
699,14000,-6795.603114850108
700,14020,-6790.439523130087
701,14040,-6784.63255600407
702,14060,-6780.553388553256
703,14080,-6774.585210842605
704,14100,-6767.919574924084
705,14120,-6761.544409939268
706,14140,-6756.064277951415
707,14160,-6752.269234861132
708,14180,-6748.645231638906
709,14200,-6746.796341561125
710,14220,-6745.0892607489
711,14240,-6743.53828359912
712,14260,-6742.597658129296
713,14280,-6742.090939003438
714,14300,-6741.57275120275
715,14320,-6739.8789822122
716,14340,-6738.465842019759
717,14360,-6736.976267365807
718,14380,-6734.077576392646
719,14400,-6732.993467364117
720,14420,-6731.249773891293
721,14440,-6731.719037863035
722,14460,-6732.053980290429
723,14480,-6732.468496732343
724,14500,-6732.464016135875
725,14520,-6731.6321504087
726,14540,-6733.09384532696
727,14560,-6734.445388761568
728,14580,-6735.169904759255
729,14600,-6734.241705057403
730,14620,-6731.345551545923
731,14640,-6727.8572224867385
732,14660,-6724.851559239391
733,14680,-6723.524841141513
734,14700,-6724.30752916321
735,14720,-6723.766492080569
736,14740,-6723.892256164456
737,14760,-6724.258804931565
738,14780,-6724.557512695252
739,14800,-6723.674760156201
740,14820,-6724.356526874961
741,14840,-6722.4288152499685
742,14860,-6722.2191459499745
743,14880,-6724.69187925998
744,14900,-6725.648190907985
745,14920,-6728.0205839763885
746,14940,-6730.115685931111
747,14960,-6731.891142494889
748,14980,-6736.423695245911
749,15000,-6738.91333119673
750,15020,-6742.919883707384
751,15040,-6744.779344465907
752,15060,-6748.576444322726
753,15080,-6751.000686708181
754,15100,-6753.036174366545
755,15120,-6755.414251993237
756,15140,-6758.33233909459
757,15160,-6759.934621275672
758,15180,-6761.180978270538
759,15200,-6762.4652513664305
760,15220,-6762.430951093144
761,15240,-6763.182417124515
762,15260,-6763.148746199613
763,15280,-6763.40430945969
764,15300,-6766.009385067752
765,15320,-6767.955789304202
766,15340,-6769.267756443362
767,15360,-6771.155611404689
768,15380,-6771.927145373751
769,15400,-6773.290778799002
770,15420,-6774.054341789201
771,15440,-6773.509098431361
772,15460,-6773.492122495089
773,15480,-6773.656197996072
774,15500,-6771.010895896858
775,15520,-6768.734966717486
776,15540,-6765.678442123989
777,15560,-6761.575097449191
778,15580,-6759.177890459353
779,15600,-6755.118406117483
780,15620,-6752.225193643986
781,15640,-6750.660936165189
782,15660,-6748.070780182152
783,15680,-6746.226311645722
784,15700,-6746.5549555665775
785,15720,-6746.995214453262
786,15740,-6746.36273406261
787,15760,-6747.462374750088
788,15780,-6748.600212300071
789,15800,-6747.957513590056
790,15820,-6747.337260872045
791,15840,-6748.040121197636
792,15860,-6748.430690708109
793,15880,-6749.623302566488
794,15900,-6750.06770455319
795,15920,-6749.739007392553
796,15940,-6747.367455914043
797,15960,-6746.484902231234
798,15980,-6745.868390534987
799,16000,-6744.19893117799
800,16020,-6739.5949261923915
801,16040,-6737.541878453913
802,16060,-6733.867565263131
803,16080,-6730.500458460505
804,16100,-6728.598179268404
805,16120,-6725.801512164724
806,16140,-6723.76542848178
807,16160,-6720.612655285424
808,16180,-6717.971061728339
809,16200,-6717.718255632672
810,16220,-6716.377885756137
811,16240,-6713.281371104909
812,16260,-6711.8661906339275
813,16280,-6709.708108757141
814,16300,-6706.815080755713
815,16320,-6704.067689604571
816,16340,-6701.258682933657
817,16360,-6700.131633846926
818,16380,-6699.853588327542
819,16400,-6699.250058162033
820,16420,-6698.906921529627
821,16440,-6699.8585059737015
822,16460,-6700.440242278962
823,16480,-6701.051725073169
824,16500,-6701.752473808536
825,16520,-6702.630104046829
826,16540,-6702.540020737463
827,16560,-6701.278110339971
828,16580,-6698.716238271977
829,16600,-6698.289553117582
830,16620,-6696.437267494066
831,16640,-6696.044345245253
832,16660,-6695.410944946203
833,16680,-6695.284068456962
834,16700,-6695.10209851557
835,16720,-6697.065272562457
836,16740,-6698.248624299966
837,16760,-6699.1734306899725
838,16780,-6699.895307051978
839,16800,-6700.768120641583
840,16820,-6701.788871513266
841,16840,-6703.678909710613
842,16860,-6704.78453401849
843,16880,-6704.589814714792
844,16900,-6704.8513830218335
845,16920,-6703.196575167467
846,16940,-6703.230385133973
847,16960,-6702.936964357179
848,16980,-6701.610508985743
849,17000,-6698.457782188594
850,17020,-6696.469819500875
851,17040,-6694.6106993507
852,17060,-6694.26418448056
853,17080,-6693.207597584448
854,17100,-6692.438734317559
855,17120,-6691.651143704047
856,17140,-6691.185446213238
857,17160,-6692.967731970591
858,17180,-6693.764810576473
859,17200,-6694.673567211178
860,17220,-6696.039947518942
861,17240,-6696.450864265154
862,17260,-6697.665847662123
863,17280,-6698.342365629699
864,17300,-6698.024986253759
865,17320,-6697.803895253008
866,17340,-6698.789366202406
867,17360,-6700.104617961925
868,17380,-6700.66072561954
869,17400,-6701.2781117456325
870,17420,-6701.850458146506
871,17440,-6702.159116517205
872,17460,-6701.417761963764
873,17480,-6703.156709571012
874,17500,-6704.42989890681
875,17520,-6706.828606625448
876,17540,-6708.458197800359
877,17560,-6709.477183240288
878,17580,-6710.27955909223
879,17600,-6710.780834773784
880,17620,-6710.726230319027
881,17640,-6708.791296755222
882,17660,-6707.494443654177
883,17680,-6706.446804923342
884,17700,-6704.8647876886735
885,17720,-6703.316986400939
886,17740,-6703.351089120752
887,17760,-6702.761652546601
888,17780,-6702.243540787281
889,17800,-6702.025926379824
890,17820,-6701.664022353859
891,17840,-6701.262155383087
892,17860,-6700.8537868064695
893,17880,-6700.454748195176
894,17900,-6698.36411105614
895,17920,-6696.750663844912
896,17940,-6694.24631232593
897,17960,-6690.658768610745
898,17980,-6689.5210773885965
899,18000,-6687.734205660878
900,18020,-6686.134708278702
901,18040,-6685.148704122962
902,18060,-6682.694588298369
903,18080,-6680.649889388696
904,18100,-6679.922880260957
905,18120,-6680.014241708765
906,18140,-6677.929362117013
907,18160,-6676.82052094361
908,18180,-6676.399073004888
909,18200,-6675.388477153911
910,18220,-6675.637187973129
911,18240,-6676.535375378504
912,18260,-6677.2753315528025
913,18280,-6677.213077742243
914,18300,-6678.346243443794
915,18320,-6679.410432255036
916,18340,-6678.113502054028
917,18360,-6677.295489143223
918,18380,-6676.3695163145785
919,18400,-6676.211394301663
920,18420,-6675.37864669133
921,18440,-6673.811042353063
922,18460,-6673.5271151324505
923,18480,-6671.640129605961
924,18500,-6671.520697434769
925,18520,-6671.700307947815
926,18540,-6672.992590108252
927,18560,-6670.907822086602
928,18580,-6670.873913919282
929,18600,-6671.080693635426
930,18620,-6671.471898658341
931,18640,-6669.920331426673
932,18660,-6669.676265141339
933,18680,-6669.456480863071
934,18700,-6668.868153440457
935,18720,-6669.247804002366
936,18740,-6668.559180701893
937,18760,-6668.279063311515
938,18780,-6667.8996568992125
939,18800,-6667.4422255193695
940,18820,-6667.158311665496
941,18840,-6666.688993082396
942,18860,-6666.330256965917
943,18880,-6666.418424322734
944,18900,-6666.988958208187
945,18920,-6666.976322816549
946,18940,-6667.066995753239
947,18960,-6667.885471602591
948,18980,-6668.013533532073
