,Training episodes,Reward
261,52400,-6924.812610723926
262,52600,-6923.769151079141
263,52800,-6926.940320863312
264,53000,-6930.33694419065
265,53200,-6930.187680352519
266,53400,-6927.925300532015
267,53600,-6928.863677925612
268,53800,-6929.80562984049
269,54000,-6932.897785122392
270,54200,-6934.7654155979135
271,54400,-6935.781082478331
272,54600,-6935.598459732665
273,54800,-6932.846736536132
274,55000,-6928.756451728906
275,55200,-6923.648442633124
276,55400,-6919.8471916065
277,55600,-6915.9486907852
278,55800,-6916.28129637816
279,56000,-6917.063318352528
280,56200,-6917.293154682023
281,56400,-6918.428117495619
282,56600,-6916.407025246494
283,56800,-6916.925776447195
284,57000,-6916.438433657756
285,57200,-6911.863246926205
286,57400,-6908.481847540964
287,57600,-6904.345478032771
288,57800,-6899.825601176217
289,58000,-6895.950637190973
290,58200,-6892.028166002779
291,58400,-6891.019876552223
292,58600,-6890.174182491778
293,58800,-6890.900595993422
294,59000,-6892.763914294737
295,59200,-6892.1892564357895
296,59400,-6888.403748898632
297,59600,-6885.6715928689055
298,59800,-6882.986180545125
299,60000,-6882.0636319361
300,60200,-6882.23153054888
301,60400,-6883.520536939104
302,60600,-6882.631585801283
303,60800,-6881.850893641026
304,61000,-6880.22415241282
305,61200,-6878.736665680256
306,61400,-6880.355270044205
307,61600,-6879.998591035364
308,61800,-6881.707779078291
309,62000,-6880.583879512634
310,62200,-6879.766322360107
311,62400,-6878.499776638086
312,62600,-6879.594196310469
313,62800,-6880.710825798375
314,63000,-6881.755691888699
315,63200,-6884.737053510959
316,63400,-6887.834799058768
317,63600,-6888.132370497015
318,63800,-6890.112927647611
319,64000,-6894.327217118089
320,64200,-6898.077711194471
321,64400,-6899.356231455577
322,64600,-6902.436703914461
323,64800,-6905.899363131569
324,65000,-6908.021053005255
325,65200,-6909.576842404204
326,65400,-6907.701786423364
327,65600,-6907.212366638691
328,65800,-6906.130049560953
329,66000,-6905.489508398762
330,66200,-6907.37520046901
331,66400,-6912.828285375208
332,66600,-6916.273409550166
333,66800,-6921.9548213901335
334,67000,-6923.992138362107
335,67200,-6924.582929439685
336,67400,-6924.166187301748
337,67600,-6923.393418591399
338,67800,-6924.465828623119
339,68000,-6923.324537898496
340,68200,-6922.584630318797
341,68400,-6921.097235505038
342,68600,-6923.1868509040305
343,68800,-6924.839168223224
344,69000,-6927.18852207858
345,69200,-6929.688473912864
346,69400,-6931.176091630291
347,69600,-6928.874623304233
348,69800,-6925.370323643387
349,70000,-6922.99407141471
350,70200,-6921.535257131767
351,70400,-6918.743674455414
352,70600,-6922.987908314331
353,70800,-6925.899232901465
354,71000,-6930.752667571172
355,71200,-6939.7504153069385
356,71400,-6939.921269745551
357,71600,-6941.133422046441
358,71800,-6942.843925137153
359,72000,-6944.558890109723
360,72200,-6942.004924587778
361,72400,-6945.817377170222
362,72600,-6949.420932986178
363,72800,-6950.569871388942
364,73000,-6951.7369908611545
365,73200,-6955.299123938923
366,73400,-6961.286017901139
367,73600,-6963.6533455709105
368,73800,-6962.998457706728
369,74000,-6966.194859915382
370,74200,-6979.831200432305
371,74400,-6989.780585345844
372,74600,-7008.076812026675
373,74800,-7019.03176212134
374,75000,-7026.1575971970715
375,75200,-7034.963421507657
376,75400,-7045.090112206126
377,75600,-7067.7120897649
378,75800,-7087.31889056192
379,76000,-7108.6366749495355
380,76200,-7141.186371209628
381,76400,-7180.013471967703
382,76600,-7209.331402574162
383,76800,-7232.539028309329
384,77000,-7254.564035147463
385,77200,-7270.128571867971
386,77400,-7284.4172324943775
387,77600,-7306.403160995502
388,77800,-7332.195185046401
389,78000,-7346.846929287121
390,78200,-7394.512230929697
391,78400,-7476.4708784937575
392,78600,-7552.830921545006
393,78800,-7641.892549736005
394,79000,-7696.701852288804
395,79200,-7758.530231831043
396,79400,-7863.892466714835
397,79600,-7947.8944421218675
398,79800,-8060.705553697495
399,80000,-8160.260536707996
400,80200,-8261.684523116397
401,80400,-8391.256680993118
402,80600,-8522.558001044494
403,80800,-8672.057494585595
404,81000,-8820.641933168476
405,81200,-8998.741984034781
406,81400,-9156.946712227826
407,81600,-9323.25643228226
408,81800,-9484.882333325808
409,82000,-9681.272272910646
410,82200,-9861.793287078517
411,82400,-10032.499160912814
412,82600,-10182.143859980251
413,82800,-10338.2329004842
414,83000,-10486.20163288736
415,83200,-10635.852243809888
416,83400,-10767.275701297911
417,83600,-10894.494936038329
418,83800,-11007.535948830664
419,84000,-11120.41875906453
420,84200,-11227.543444751624
421,84400,-11336.7594433013
422,84600,-11441.55349214104
423,84800,-11530.100449962832
424,85000,-11615.343484970266
425,85200,-11689.662444226213
426,85400,-11759.05761163097
427,85600,-11821.700308054775
428,85800,-11884.78571519382
429,86000,-11942.936540905055
430,86200,-11992.853763974043
431,86400,-12043.074886179233
432,86600,-12088.703502693386
433,86800,-12130.501239654708
434,87000,-12169.321147973766
435,87200,-12205.135199629014
436,87400,-12235.38190970321
437,87600,-12261.744746512568
438,87800,-12283.531109710053
